Colors,Description,Flowers,Image,Misc items,Name,type_id,Used,
"Peach , Blush , Burgundy  , White","34 inches Tall Centerpiece, With quicksand roses, White hydrangeas, Blush Stock, Majolica spray roses, Burgundy Dahlias. ","Quicksand Rose , Blush  Stock  , Majolica Spray Roses  , burgundy dahlia , White hydrangeas",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630257670084x330660019864643000.png,Clear Trumpet Vase ,Tall Burgundy White and Blush Centerpiece ,Reception,,
White,"Round Bridal Bouquet with Peonies, ranunculus, stock, garden roses ","Playa Blanca Rose , White Stock , White Ranunculus , White Peonies",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630275700815x704987187675432800.png,,Classic Round,Bridal Bouquet,2,
"Sage , White","Cream rose, greenery silver dollar and seeded eucalyptus with scabiosa touches  ","White Tibet , Silver dollar  , Seeded Eucalyptus , White Scabiosa ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630276762724x246940972040677900.png,,Bridesmaids Bouquet,Bridesmaids Bouquet,14,
White,White ranunculus with greenery touch ,"White Ranunculus , Silver dollar ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630276944320x581164921726127900.png,,White Boutonnière ,Boutonnieres,78,
White,Wooden Arch with 2 centerpiece and chiffon ,"White wax flower , White Snowflake Spray Rose  , White Scabiosa  , White Tibet , Silver dollar  , Seeded Eucalyptus , White hydrangeas",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630277858995x779596995808901200.png,"Wooden Rectangular Arch , White Chiffon 25 feet",Wooden Arch with 2 centerpiece ,Ceremony Arch,,
,Greenery and flowers wreath with wooden lantern ,"Silver dollar  , Seeded Eucalyptus , White Snowflake Spray Rose ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630279093305x814811711400390800.png,Lantern,Greenery wreath with Lantern ,Reception,,
"Blush , White","Centerpiece with blush roses, spray roses, white hydrangeas, stock and a touch of greenery ","White hydrangeas , Pink Mondial  , Blush Bombastic Spray  , White Stock",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630283508466x597786856674148000.png,Gold Compote Style Vase,White and Blush short centerpiece ,Reception,,
,Wooden Arch with flowers and greenery corner centerpiece. ,"White hydrangeas , Pink Mondial  , Eucalyptus Gunii  , Majolica Spray Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630294772858x838686703260865200.png,"Wooden Rectangular Arch , White Chiffon 50 feet",Wooden Arch ,Ceremony Arch,,
White,Flowers and greenery centerpiece    wreath with 3 floating candles ,"Italian Ruscus , Silver dollar  , White Snowflake Spray Rose ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630295649675x809861407601330800.png,Footed Candle Holder and Floating Candle ,Greenery and flowers wreath with 3 Floating Candle,Reception,,
"Emerald Green , White",Tall Tropical leaves centerpiece on a rectangle stand. ,"Areca Palm , Banana leaf , Monstera Leave , White Dendrobium orchid  , Whte Phialanopsis Orchid",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630296358150x650028074118640800.png,,Tall Tropical centerpiece ,Reception,,
,Short tropical centerpiece ,"White protea , Monstera Leave , Areca Palm , Banana leaf , White Dendrobium orchid  , Eagle Fern ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630470871235x103944424652250290.png,clear cylinder vase,Short tropical centerpiece ,Reception,,
,Semi Circle greenery and flowers centerpiece. ,"Areca Palm , Banana leaf , Monstera Leave , Eagle Fern  , Majolica Spray Roses  , Peach Ran unculus ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630471919032x606306996121808800.png,,Semi Circle ,Ceremony Arch,,
"Blush , White",,,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1630283508466x597786856674148000.png,,White and Blush short centerpiece ,Reception,,
