id,Name,Creation Date,Modified Date,Slug,Creator
1,Bridal Bouquet,"Jul 25, 2021 9:29 pm","Jul 28, 2021 11:29 pm",,(deleted thing)
2,Bridesmaids Bouquet,"Jul 25, 2021 9:31 pm","Jul 25, 2021 9:31 pm",,(deleted thing)
3,Boutonnieres,"Jul 25, 2021 9:32 pm","Jul 28, 2021 11:28 pm",,(deleted thing)
4,Corsage,"Jul 25, 2021 9:33 pm","Jul 25, 2021 9:33 pm",,(deleted thing)
5,Arch,"Jul 25, 2021 9:34 pm","Sep 1, 2021 11:29 pm",,(deleted thing)
6,Aisle,"Jul 25, 2021 9:35 pm","Sep 1, 2021 11:29 pm",,(deleted thing)
7,Aisle Chairs,"Jul 25, 2021 9:35 pm","Sep 1, 2021 11:29 pm",,(deleted thing)
8,Tall Arrangement,"Jul 25, 2021 9:36 pm","Jul 28, 2021 11:28 pm",,(deleted thing)
9,Short Arrangement,"Jul 25, 2021 9:37 pm","Jul 28, 2021 11:28 pm",,(deleted thing)
10,Hair Arrangement,"Sep 1, 2021 12:19 am","Sep 1, 2021 11:28 pm",,(deleted thing)
11,Church,"Sep 1, 2021 10:30 am","Sep 1, 2021 10:30 am",,(deleted thing)
12,Garland,"Sep 1, 2021 10:30 am","Sep 1, 2021 11:24 pm",,(deleted thing)
13,Sweetheart Table,"Sep 1, 2021 10:30 am","Sep 1, 2021 10:30 am",,(deleted thing)
14,Choppas,"Sep 1, 2021 10:31 am","Sep 1, 2021 10:31 am",,(deleted thing)
15,Table Bridges,"Sep 1, 2021 10:31 am","Sep 1, 2021 10:31 am",,(deleted thing)
16,Kids Arrangement,"Sep 1, 2021 10:32 am","Sep 1, 2021 10:32 am",,(deleted thing)
17,Elevated,"Sep 1, 2021 10:32 am","Sep 1, 2021 11:24 pm",,(deleted thing)
18,Wedding cake,"Sep 12, 2021 9:46 pm","Sep 12, 2021 9:46 pm",,(App admin)
19,Welcome sign,"Sep 12, 2021 9:46 pm","Sep 12, 2021 9:46 pm",,(App admin)
20,Cocktail table,"Sep 12, 2021 9:47 pm","Sep 12, 2021 9:47 pm",,(App admin)
21,U Shape Arch With Flowers ,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,u-shape-arch-with-flowers-,system
22,Ceremony Arch,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,ceremony-arch,system
23,Rounded Arch,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,rounded-arch,system
24,Chuppah ,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,chuppah-,system
25,Father  ,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,father--,system
26,Altar Half-circle,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,altar-half-circle,system
27,Short Arrangement on rounds,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,short-arrangement-on-rounds,system
28,Boutonnieres for Groom ,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,boutonnieres-for-groom-,system
29,Bouquet,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,bouquet,system
30,Bridal Bouquet - Boho blush and burgundy,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,bridal-bouquet---boho-blush-and-burgundy,system
31,Short Arrangement/Garland,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,short-arrangement/garland,system
32,Empty,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,empty,system
33,Boutonnières,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,boutonnières,system
34,Gazebo,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,gazebo,system
35,Reception,2024-09-30 20:45:43.448006,2024-09-30 20:45:43.448045,reception,system
